0.000,0.000,0.500,-1.000
0.050,0.040,0.508,-1.010
0.100,0.081,0.514,-1.020
0.150,0.124,0.515,-1.030
0.200,0.167,0.514,-1.040
0.250,0.210,0.508,-1.050
0.300,0.254,0.499,-1.060
0.350,0.298,0.486,-1.070
0.400,0.341,0.469,-1.080
0.450,0.383,0.449,-1.090
0.500,0.424,0.424,-1.100
0.550,0.464,0.396,-1.110
0.600,0.502,0.364,-1.120
0.650,0.537,0.329,-1.130
0.700,0.570,0.291,-1.140
0.750,0.601,0.249,-1.150
0.800,0.628,0.204,-1.160
0.850,0.651,0.156,-1.170
0.900,0.672,0.106,-1.180
0.950,0.688,0.054,-1.190
1.000,0.700,-0.000,-1.200
1.050,0.708,-0.056,-1.210
1.100,0.711,-0.113,-1.220
1.150,0.710,-0.170,-1.230
1.200,0.704,-0.229,-1.240
1.250,0.693,-0.287,-1.250
1.300,0.677,-0.345,-1.260
1.350,0.657,-0.402,-1.270
1.400,0.631,-0.458,-1.280
1.450,0.601,-0.513,-1.290
1.500,0.566,-0.566,-1.300
1.550,0.526,-0.616,-1.310
1.600,0.482,-0.663,-1.320
1.650,0.434,-0.708,-1.330
1.700,0.381,-0.748,-1.340
1.750,0.325,-0.785,-1.350
1.800,0.266,-0.818,-1.360
1.850,0.203,-0.846,-1.370
1.900,0.138,-0.869,-1.380
1.950,0.070,-0.887,-1.390
2.000,-0.000,-0.900,-1.400
2.050,-0.071,-0.907,-1.410
2.100,-0.144,-0.909,-1.420
2.150,-0.217,-0.904,-1.430
2.200,-0.290,-0.894,-1.440
2.250,-0.364,-0.878,-1.450
2.300,-0.436,-0.855,-1.460
2.350,-0.507,-0.827,-1.470
2.400,-0.576,-0.793,-1.480
2.450,-0.643,-0.753,-1.490
2.500,-0.707,-0.707,-1.500
2.550,-0.768,-0.656,-1.510
2.600,-0.825,-0.600,-1.520
2.650,-0.878,-0.538,-1.530
2.700,-0.927,-0.472,-1.540
2.750,-0.970,-0.402,-1.550
2.800,-1.008,-0.328,-1.560
2.850,-1.040,-0.250,-1.570
2.900,-1.067,-0.169,-1.580
2.950,-1.087,-0.086,-1.590
3.000,-1.100,-0.000,-1.600
3.050,-1.107,0.087,-1.610
3.100,-1.106,0.175,-1.620
3.150,-1.099,0.264,-1.630
3.200,-1.084,0.352,-1.640
3.250,-1.062,0.440,-1.650
3.300,-1.034,0.527,-1.660
3.350,-0.998,0.611,-1.670
3.400,-0.955,0.694,-1.680
3.450,-0.905,0.773,-1.690
3.500,-0.849,0.849,-1.700
3.550,-0.786,0.920,-1.710
3.600,-0.717,0.987,-1.720
3.650,-0.643,1.049,-1.730
3.700,-0.563,1.105,-1.740
3.750,-0.478,1.155,-1.750
3.800,-0.389,1.198,-1.760
3.850,-0.296,1.235,-1.770
3.900,-0.200,1.264,-1.780
3.950,-0.101,1.286,-1.790
4.000,-0.000,1.300,-1.800
4.050,0.103,1.306,-1.810
4.100,0.206,1.304,-1.820
4.150,0.310,1.293,-1.830
4.200,0.414,1.274,-1.840
4.250,0.517,1.247,-1.850
4.300,0.617,1.212,-1.860
4.350,0.716,1.168,-1.870
4.400,0.811,1.116,-1.880
4.450,0.903,1.057,-1.890
4.500,0.990,0.990,-1.900
4.550,1.072,0.916,-1.910
4.600,1.149,0.835,-1.920
4.650,1.219,0.747,-1.930
4.700,1.283,0.654,-1.940
4.750,1.340,0.555,-1.950
4.800,1.389,0.451,-1.960
4.850,1.429,0.343,-1.970
4.900,1.462,0.232,-1.980
4.950,1.485,0.117,-1.990
5.000,1.500,0.000,-2.000
5.050,1.505,-0.118,-2.010
5.100,1.501,-0.238,-2.020
5.150,1.488,-0.357,-2.030
5.200,1.465,-0.476,-2.040
5.250,1.432,-0.593,-2.050
5.300,1.390,-0.708,-2.060
5.350,1.339,-0.820,-2.070
5.400,1.278,-0.929,-2.080
5.450,1.209,-1.033,-2.090
5.500,1.131,-1.131,-2.100
5.550,1.046,-1.224,-2.110
5.600,0.952,-1.311,-2.120
5.650,0.852,-1.390,-2.130
5.700,0.745,-1.461,-2.140
5.750,0.631,-1.524,-2.150
5.800,0.513,-1.579,-2.160
5.850,0.390,-1.624,-2.170
5.900,0.263,-1.659,-2.180
5.950,0.133,-1.685,-2.190
6.000,0.000,-1.700,-2.200
6.050,-0.134,-1.705,-2.210
6.100,-0.269,-1.699,-2.220
6.150,-0.404,-1.682,-2.230
6.200,-0.538,-1.655,-2.240
6.250,-0.670,-1.617,-2.250
6.300,-0.799,-1.568,-2.260
6.350,-0.925,-1.509,-2.270
6.400,-1.046,-1.440,-2.280
6.450,-1.163,-1.361,-2.290
6.500,-1.273,-1.273,-2.300
6.550,-1.376,-1.176,-2.310
6.600,-1.472,-1.070,-2.320
6.650,-1.560,-0.956,-2.330
6.700,-1.639,-0.835,-2.340
6.750,-1.709,-0.708,-2.350
6.800,-1.769,-0.575,-2.360
6.850,-1.818,-0.437,-2.370
6.900,-1.857,-0.294,-2.380
6.950,-1.884,-0.148,-2.390
7.000,-1.900,-0.000,-2.400
7.050,-1.904,0.150,-2.410
7.100,-1.896,0.300,-2.420
7.150,-1.877,0.451,-2.430
7.200,-1.845,0.599,-2.440
7.250,-1.802,0.746,-2.450
7.300,-1.746,0.890,-2.460
7.350,-1.680,1.029,-2.470
7.400,-1.602,1.164,-2.480
7.450,-1.513,1.292,-2.490
7.500,-1.414,1.414,-2.500
7.550,-1.305,1.528,-2.510
7.600,-1.187,1.634,-2.520
7.650,-1.061,1.731,-2.530
7.700,-0.926,1.818,-2.540
7.750,-0.785,1.894,-2.550
7.800,-0.637,1.959,-2.560
7.850,-0.483,2.013,-2.570
7.900,-0.325,2.054,-2.580
7.950,-0.164,2.084,-2.590
8.000,-0.000,2.100,-2.600
8.050,0.166,2.103,-2.610
8.100,0.332,2.094,-2.620
8.150,0.497,2.071,-2.630
8.200,0.661,2.035,-2.640
8.250,0.823,1.986,-2.650
8.300,0.981,1.925,-2.660
8.350,1.134,1.850,-2.670
8.400,1.281,1.764,-2.680
8.450,1.422,1.665,-2.690
8.500,1.556,1.556,-2.700
8.550,1.680,1.435,-2.710
8.600,1.796,1.305,-2.720
8.650,1.901,1.165,-2.730
8.700,1.996,1.017,-2.740
8.750,2.079,0.861,-2.750
8.800,2.149,0.698,-2.760
8.850,2.207,0.530,-2.770
8.900,2.252,0.357,-2.780
8.950,2.283,0.180,-2.790
9.000,2.300,0.000,-2.800
9.050,2.303,-0.181,-2.810
9.100,2.291,-0.363,-2.820
9.150,2.266,-0.544,-2.830
9.200,2.225,-0.723,-2.840
9.250,2.171,-0.899,-2.850
9.300,2.103,-1.071,-2.860
9.350,2.021,-1.238,-2.870
9.400,1.925,-1.399,-2.880
9.450,1.817,-1.552,-2.890
9.500,1.697,-1.697,-2.900
9.550,1.565,-1.833,-2.910
9.600,1.422,-1.958,-2.920
9.650,1.270,-2.072,-2.930
9.700,1.108,-2.174,-2.940
9.750,0.938,-2.264,-2.950
9.800,0.760,-2.340,-2.960
9.850,0.577,-2.402,-2.970
9.900,0.388,-2.449,-2.980
9.950,0.195,-2.482,-2.990
10.000,-0.000,-2.500,-3.000
10.050,-0.197,-2.502,-3.010
10.100,-0.394,-2.489,-3.020
10.150,-0.591,-2.460,-3.030
10.200,-0.785,-2.416,-3.040
10.250,-0.976,-2.356,-3.050
10.300,-1.162,-2.281,-3.060
10.350,-1.343,-2.191,-3.070
10.400,-1.516,-2.087,-3.080
10.450,-1.682,-1.969,-3.090
10.500,-1.838,-1.838,-3.100
10.550,-1.985,-1.695,-3.110
10.600,-2.120,-1.540,-3.120
10.650,-2.242,-1.374,-3.130
10.700,-2.352,-1.199,-3.140
10.750,-2.448,-1.014,-3.150
10.800,-2.530,-0.822,-3.160
10.850,-2.596,-0.623,-3.170
10.900,-2.647,-0.419,-3.180
10.950,-2.682,-0.211,-3.190
11.000,-2.700,0.000,-3.200
11.050,-2.702,0.213,-3.210
11.100,-2.687,0.426,-3.220
11.150,-2.655,0.637,-3.230
11.200,-2.606,0.847,-3.240
11.250,-2.541,1.052,-3.250
11.300,-2.459,1.253,-3.260
11.350,-2.362,1.447,-3.270
11.400,-2.249,1.634,-3.280
11.450,-2.122,1.812,-3.290
11.500,-1.980,1.980,-3.300
11.550,-1.825,2.137,-3.310
11.600,-1.658,2.281,-3.320
11.650,-1.479,2.413,-3.330
11.700,-1.289,2.530,-3.340
11.750,-1.091,2.633,-3.350
11.800,-0.884,2.720,-3.360
11.850,-0.670,2.791,-3.370
11.900,-0.451,2.845,-3.380
11.950,-0.227,2.881,-3.390
12.000,0.000,2.900,-3.400
12.050,0.228,2.901,-3.410
12.100,0.457,2.884,-3.420
12.150,0.684,2.849,-3.430
12.200,0.909,2.796,-3.440
12.250,1.129,2.725,-3.450
12.300,1.344,2.637,-3.460
12.350,1.552,2.532,-3.470
12.400,1.752,2.411,-3.480
12.450,1.942,2.274,-3.490
12.500,2.121,2.121,-3.500
12.550,2.289,1.955,-3.510
12.600,2.443,1.775,-3.520
12.650,2.583,1.583,-3.530
12.700,2.709,1.380,-3.540
12.750,2.818,1.167,-3.550
12.800,2.910,0.946,-3.560
12.850,2.985,0.717,-3.570
12.900,3.042,0.482,-3.580
12.950,3.080,0.242,-3.590
13.000,3.100,-0.000,-3.600
